rpm_limit,target,placement,online,temporal_std,temporal_rms,temporal_pp,temporal_max,temporal_shape,temporal_margin,temporal_crest,temporal_impulse,temporal_skewness,temporal_kurtosis,spectral_roll_off,spectral_skewness,spectral_flux,spectral_entropy,spectral_negentropy,spectral_noisiness,spectral_std,spectral_kurtosis,spectral_centroid,spectral_energy,spectral_roll_on
False,fault,A,False,1.0,2.0,3.0000000000000004,4.0,4.999999999999999,6.316359597656378,6.9520532897729,7.651724731089557,9.321697517861576,9.654893846056302,1.9129311827723892,3.0365889718756627,3.1748021039363983,4.379519139887889,4.762203155904598,5.646216173286171,5.848035476425731,6.214465011907718,6.868285455319991,6.910423230011186,10.656022367666111
False,fault,A,True,1.5874010519681994,2.6207413942088964,2.2894284851066637,4.641588833612778,2.7144176165949063,6.649399761150975,6.316359597656378,7.999999999999998,9.000000000000002,10.000000000000002,1.0,3.9148676411688634,5.593444710406984,4.578856970213327,3.3019272488946263,5.277632087904077,9.000000000000002,7.268482371328559,3.1748021039363983,10.656022367666111,10.322801154563672
False,fault,B,False,2.620741394208897,3.634241185664279,1.5874010519681994,1.5874010519681994,7.937005259840998,8.320335292207616,6.316359597656379,7.883735163105242,6.0822019955734,7.55952629936924,1.8171205928321397,9.321697517861576,4.641588833612778,6.000000000000001,7.651724731089554,4.379519139887889,4.820284528350459,10.656022367666111,3.4199518933533932,6.463304070095652,2.2239800905693157
False,fault,B,True,3.0000000000000004,4.0,1.0,2.0,8.65349742184445,6.999999999999999,5.848035476425731,6.000000000000001,8.962809493114328,7.937005259840998,4.308869380063767,9.28317766722556,3.0000000000000004,5.517848352762241,7.268482371328559,5.313292845913055,5.808785733563703,10.28827647810178,2.7144176165949063,9.622602989987483,1.0
False,anomaly_60,A,False,2.0,3.0000000000000004,4.308869380063767,5.313292845913055,1.0,5.241482788417794,7.651724731089557,7.611662611020245,9.321697517861576,9.28317766722556,4.0,6.0822019955734,3.1748021039363983,1.9129311827723892,7.113786608980125,4.308869380063767,6.240251469155714,8.138223044397703,3.3019272488946263,5.848035476425733,8.987637347075681
False,anomaly_60,A,True,2.8844991406148166,3.9790572078963913,5.241482788417794,6.299605249474365,1.0,4.762203155904598,6.839903786706787,5.808785733563703,5.45136177849642,9.28317766722556,7.398636222991413,5.313292845913055,2.0,1.5874010519681994,6.316359597656379,3.634241185664279,8.617738760127533,7.318611420045943,2.0800838230519045,10.322801154563672,10.28827647810178
False,anomaly_60,B,False,2.620741394208897,1.5874010519681994,7.937005259840998,6.240251469155714,7.268482371328559,6.868285455319991,5.848035476425731,7.883735163105242,4.820284528350459,1.5874010519681994,3.659305710022972,6.299605249474365,3.1748021039363983,1.709975946676697,10.322801154563672,6.000000000000001,3.0000000000000004,8.320335292207616,4.820284528350459,6.868285455319992,6.2316796843697535
False,anomaly_60,B,True,4.160167646103808,3.3019272488946263,8.434326653017493,7.398636222991413,5.768998281229634,3.3019272488946263,5.593444710406984,5.808785733563703,5.428835233189813,1.2599210498948732,6.542132620377179,6.603854497789252,2.2894284851066637,1.0,8.879040017426007,4.217163326508746,3.9148676411688643,6.9520532897729,5.241482788417794,9.622602989987483,7.851424410539691
False,anomaly_90,A,False,1.5874010519681994,2.620741394208897,3.634241185664279,6.299605249474365,1.5874010519681994,6.316359597656379,6.839903786706787,6.649399761150975,9.000000000000002,9.28317766722556,6.257324745675973,6.299605249474365,3.9790572078963913,2.519842099789746,5.039684199579492,6.000000000000001,4.326748710922226,8.320335292207616,1.4422495703074085,6.2316796843697535,10.322801154563672
False,anomaly_90,A,True,2.620741394208897,2.2894284851066637,4.820284528350459,6.299605249474365,1.0,5.646216173286171,7.999999999999998,6.649399761150975,6.868285455319992,9.654893846056302,7.113786608980125,4.7176939803165325,3.3019272488946263,1.5874010519681994,5.517848352762241,5.241482788417794,5.646216173286171,6.804092115953368,2.0,10.656022367666111,9.58283971412557
